Order_ID,Order_Date,Model,Vehicle_Type,Powertrain,Model_Year,Country,Region,Sales_Channel,Payment_Method,Salesperson,Quantity,Unit_Price_USD,Discount_Rate,Discount_Amount_USD,Revenue_USD,Estimated_Cost_USD,Estimated_Profit_USD,Customer_ID,Customer_Segment,Delivery_Days,Customer_Rating,Month
BYD-100000,2025-10-16,BYD Seagull,Hatchback,EV,2023,United Kingdom,Europe,Corporate,Financing,Salesperson_088,1,11867.27,0.0649,770.19,11097.08,8190.47,2906.62,CUST-25756,Individual,51,4.1,2025-10
BYD-100001,2024-04-24,BYD Han,Sedan,EV,2020,Australia,Oceania,Fleet,Financing,Salesperson_092,3,61701.33,0.0694,12846.22,172257.77,149849.72,22408.05,CUST-51743,Individual,35,4.8,2024-04
BYD-100002,2024-01-26,BYD Song Plus DM-i,SUV,PHEV,2021,Australia,Oceania,Dealership,Lease,Salesperson_085,1,31400.61,0.043,1350.23,30050.38,26284.73,3765.65,CUST-24022,Business,30,5.0,2024-01
BYD-100003,2026-01-29,BYD Atto 3,SUV,EV,2022,Thailand,Asia,Fleet,Lease,Salesperson_016,1,40333.0,0.0974,3928.43,36404.57,28452.0,7952.56,CUST-40172,Individual,41,4.3,2026-01
BYD-100004,2024-10-08,BYD Seagull,Hatchback,EV,2023,Thailand,Asia,Corporate,Financing,Salesperson_039,3,12520.86,0.0359,1348.5,36214.08,28325.04,7889.04,CUST-60907,Individual,52,4.8,2024-10
BYD-100005,2024-09-07,BYD Seal,Sedan,EV,2023,Thailand,Asia,Online,Financing,Salesperson_081,1,40435.15,0.0361,1459.71,38975.44,33421.7,5553.74,CUST-22698,Individual,38,4.1,2024-09
BYD-100006,2024-08-16,BYD Song Plus DM-i,SUV,PHEV,2021,Germany,Europe,Dealership,Financing,Salesperson_061,2,27102.0,0.0573,3105.89,51098.11,39031.08,12067.03,CUST-30266,Individual,12,4.9,2024-08
BYD-100007,2024-05-22,BYD Qin Plus DM-i,Sedan,PHEV,2021,United Kingdom,Europe,Dealership,Cash,Salesperson_090,2,21010.37,0.0,0.0,42020.74,36149.68,5871.06,CUST-50296,Individual,39,3.8,2024-05
BYD-100008,2026-01-24,BYD Tang,SUV,EV,2021,Japan,Asia,Fleet,Financing,Salesperson_089,1,61508.39,0.0196,1205.56,60302.83,47478.78,12824.04,CUST-14344,Individual,42,3.7,2026-01
BYD-100009,2024-04-14,BYD Atto 3,SUV,EV,2022,China,Asia,Corporate,Lease,Salesperson_018,1,33706.6,0.0228,768.51,32938.09,24683.75,8254.34,CUST-36520,Individual,60,4.6,2024-04
BYD-100010,2025-11-23,BYD Atto 3,SUV,EV,2022,Germany,Europe,Dealership,Cash,Salesperson_021,1,37313.64,0.094,3507.48,33806.16,25993.14,7813.02,CUST-65750,Individual,27,4.9,2025-11
BYD-100011,2026-01-28,BYD Han,Sedan,EV,2020,Japan,Asia,Online,Lease,Salesperson_088,2,48731.11,0.052,5068.04,92394.18,77871.41,14522.78,CUST-13418,Business,47,4.7,2026-01
BYD-100012,2026-07-02,BYD Qin Plus DM-i,Sedan,PHEV,2021,United Kingdom,Europe,Online,Financing,Salesperson_023,1,22195.22,0.0337,747.98,21447.24,18439.5,3007.74,CUST-26177,Individual,19,4.9,2026-07
BYD-100013,2025-07-12,BYD Shark,Pickup,PHEV,2024,United Kingdom,Europe,Corporate,Financing,Salesperson_024,2,56653.07,0.0155,1756.25,111549.89,83861.67,27688.22,CUST-34453,Individual,59,3.8,2025-07
BYD-100014,2024-03-30,BYD Qin Plus DM-i,Sedan,PHEV,2021,Germany,Europe,Online,Cash,Salesperson_003,5,21486.62,0.0501,3437.86,103995.24,89591.34,14403.9,CUST-71568,Individual,55,4.3,2024-03
BYD-100015,2025-08-27,BYD Seagull,Hatchback,EV,2023,Mexico,North America,Corporate,Cash,Salesperson_034,1,13778.19,0.0319,439.52,13338.67,11539.22,1799.45,CUST-94951,Business,6,3.4,2025-08
BYD-100016,2025-03-08,BYD Dolphin,Hatchback,EV,2023,China,Asia,Fleet,Cash,Salesperson_012,1,22884.58,0.0496,1135.08,21749.5,17152.19,4597.31,CUST-79093,Business,12,3.6,2025-03
BYD-100017,2024-02-02,BYD Song Plus DM-i,SUV,PHEV,2021,Brazil,South America,Corporate,Financing,Salesperson_087,5,28874.64,0.0747,10784.68,133588.52,98692.0,34896.52,CUST-33761,Individual,55,5.0,2024-02
BYD-100018,2024-01-31,BYD Yuan Plus,SUV,EV,2022,Pakistan,Asia,Fleet,Financing,Salesperson_096,1,25296.79,0.0563,1424.21,23872.58,17964.19,5908.39,CUST-70045,Business,27,4.1,2024-01
BYD-100019,2024-04-05,BYD Yuan Plus,SUV,EV,2022,Germany,Europe,Online,Financing,Salesperson_094,1,30472.47,0.0102,310.82,30161.65,25848.96,4312.69,CUST-10719,Individual,34,5.0,2024-04
BYD-100020,2024-08-11,BYD Han,Sedan,EV,2020,Germany,Europe,Dealership,Financing,Salesperson_034,1,55754.02,0.0722,4025.44,51728.58,43803.46,7925.12,CUST-88382,Individual,10,4.4,2024-08
BYD-100021,2024-08-26,BYD Han,Sedan,EV,2020,Mexico,North America,Corporate,Cash,Salesperson_002,1,53675.14,0.0465,2495.89,51179.25,38882.45,12296.79,CUST-23448,Individual,44,4.2,2024-08
BYD-100022,2025-06-01,BYD Yuan Plus,SUV,EV,2022,Brazil,South America,Corporate,Lease,Salesperson_028,3,28272.37,0.0056,474.98,84342.13,73875.6,10466.53,CUST-74342,Business,47,4.2,2025-06
BYD-100023,2025-09-08,BYD Qin Plus DM-i,Sedan,PHEV,2021,Germany,Europe,Dealership,Lease,Salesperson_008,2,23860.54,0.0362,1727.5,45993.58,35000.93,10992.64,CUST-65835,Individual,14,4.9,2025-09
BYD-100024,2024-01-28,BYD Atto 3,SUV,EV,2022,United Kingdom,Europe,Fleet,Lease,Salesperson_086,5,32640.36,0.0603,9841.07,153360.73,121975.33,31385.4,CUST-15931,Government,23,4.2,2024-01
BYD-100025,2025-07-28,BYD Shark,Pickup,PHEV,2024,China,Asia,Corporate,Financing,Salesperson_051,1,53305.64,0.0597,3182.35,50123.29,40135.06,9988.23,CUST-31559,Business,47,4.3,2025-07
BYD-100026,2024-07-22,BYD Song Plus DM-i,SUV,PHEV,2021,Brazil,South America,Online,Financing,Salesperson_022,5,33565.89,0.0297,4984.53,162844.92,131827.79,31017.13,CUST-99646,Individual,29,4.5,2024-07
BYD-100027,2026-01-03,BYD Seagull,Hatchback,EV,2023,UAE,Middle East,Online,Cash,Salesperson_041,5,12894.03,0.0809,5215.64,59254.51,50986.35,8268.17,CUST-42856,Individual,32,3.6,2026-01
BYD-100028,2025-10-27,BYD Seagull,Hatchback,EV,2023,Germany,Europe,Dealership,Cash,Salesperson_064,1,11703.16,0.0248,290.24,11412.92,8430.67,2982.26,CUST-11214,Individual,12,4.4,2025-10
BYD-100029,2025-12-19,BYD Tang,SUV,EV,2021,United Kingdom,Europe,Fleet,Lease,Salesperson_098,3,64682.62,0.0599,11623.47,182424.39,139603.57,42820.83,CUST-27187,Business,23,4.3,2025-12
BYD-100030,2025-07-12,BYD Tang,SUV,EV,2021,Japan,Asia,Fleet,Lease,Salesperson_063,1,59108.84,0.0356,2104.27,57004.57,49185.11,7819.46,CUST-62795,Individual,3,4.6,2025-07
BYD-100031,2025-03-05,BYD Dolphin,Hatchback,EV,2023,Japan,Asia,Corporate,Cash,Salesperson_025,3,22607.59,0.0168,1139.42,66683.35,55026.24,11657.11,CUST-40959,Individual,11,4.8,2025-03
BYD-100032,2024-08-13,BYD Dolphin,Hatchback,EV,2023,China,Asia,Fleet,Cash,Salesperson_091,1,27712.48,0.0744,2061.81,25650.67,18615.67,7035.01,CUST-52362,Business,5,4.2,2024-08
BYD-100033,2025-04-04,BYD Yuan Plus,SUV,EV,2022,Germany,Europe,Corporate,Cash,Salesperson_057,1,32408.48,0.0478,1549.13,30859.35,26638.66,4220.69,CUST-65390,Business,51,4.6,2025-04
BYD-100034,2025-08-26,BYD Song Plus DM-i,SUV,PHEV,2021,Japan,Asia,Online,Cash,Salesperson_045,1,30348.49,0.0608,1845.19,28503.3,22770.67,5732.64,CUST-81950,Individual,55,3.6,2025-08
BYD-100035,2024-10-11,BYD Seal,Sedan,EV,2023,Thailand,Asia,Online,Lease,Salesperson_066,3,47167.8,0.0608,8603.41,132899.99,99529.44,33370.55,CUST-81264,Business,44,5.0,2024-10
BYD-100036,2026-04-08,BYD Tang,SUV,EV,2021,Mexico,North America,Dealership,Lease,Salesperson_099,3,67510.29,0.0489,9903.76,192627.11,156742.29,35884.82,CUST-70234,Individual,21,5.0,2026-04
BYD-100037,2026-06-09,BYD Shark,Pickup,PHEV,2024,Brazil,South America,Corporate,Lease,Salesperson_013,1,58616.37,0.0,0.0,58616.37,42924.4,15691.97,CUST-87442,Individual,8,4.1,2026-06
BYD-100038,2024-01-07,BYD Song Plus DM-i,SUV,PHEV,2021,China,Asia,Dealership,Financing,Salesperson_048,1,31234.54,0.0526,1642.94,29591.6,25952.24,3639.37,CUST-59030,Individual,9,4.4,2024-01
BYD-100039,2026-02-16,BYD Shark,Pickup,PHEV,2024,Pakistan,Asia,Dealership,Financing,Salesperson_091,2,46254.7,0.0528,4884.5,87624.9,65245.86,22379.04,CUST-54689,Individual,45,3.1,2026-02
